LATITUDE,LONGITUDE,reef.alias,Water_Samples,Region,Subregion,Season,waterYear,Date,Mnth,DOC
-16.4103065,145.5084218,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2009-10-11,10,737.3577522549999
-16.4103333,145.5083333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2018-03-01,3,1095.6102396124998
-16.4103397,145.5072036,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-09-24,9,822.7726275174999
-16.4103667,145.6749,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2022-06-09,6,906.530225
-16.4106667,145.5083333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2018,2018-05-31,5,859.0922700324999
-16.4108944,145.5089275,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2009-06-15,6,744.34040716
-16.4113333,145.5091667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2022,2022-02-12,2,944.5150124999998
-16.4114024,145.5089595,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2010-10-07,10,774.627164595
-16.4115059,145.5106057,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2009,2009-02-25,2,725.866828555
-16.4116667,145.51,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-07-14,7,888.313561685
-16.4116667,145.5116667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-09-29,9,988.5953824999999
-16.4117047,145.508127,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2012-06-07,6,1081.7876505099998
-16.4117399,145.50906320000001,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2014,2014-02-05,2,853.832502995
-16.4123333,145.5066667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2016,2016-06-25,6,794.8021313775001
-16.4125,145.5073333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2017-06-21,6,1113.0881663725
-16.4135,145.509,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2016-02-26,2,864.4435909174999
-16.6568553,145.7054225,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2010,2010-03-03,3,775.2901868087499
-16.65905,145.6979167,Double Island,AIMS,Wet Tropics,Barron Daintree,Wet,2006,2006-01-23,1,726.5615898362499
