AIMS_REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,HC,n.points,total.points
Reef 20-353,2020,3,1,27.63819095477387,55,199
Reef 20-353,2020,3,2,27,54,200
Reef 20-353,2020,3,3,51.243781094527364,103,201
Reef 20-353,2020,3,4,57.21393034825871,115,201
Reef 20-353,2020,3,5,42.5,85,200
Reef 21-060,2006,1,1,54.5,109,200
Reef 21-060,2006,1,2,68,136,200
Reef 21-060,2006,1,3,26,52,200
Reef 21-060,2006,1,4,12.5,25,200
Reef 21-060,2006,1,5,26.5,53,200
Reef 21-060,2006,2,1,37.5,75,200
Reef 21-060,2006,2,2,47.5,95,200
Reef 21-060,2006,2,3,37,74,200
Reef 21-060,2006,2,4,40.20618556701031,78,194
Reef 21-060,2006,2,5,28.5,57,200
Reef 21-060,2006,3,1,43.5,87,200
Reef 21-060,2006,3,2,59.5,119,200
Reef 21-060,2006,3,3,39.5,79,200
Reef 21-060,2006,3,4,63.5,127,200
Reef 21-060,2006,3,5,58.97435897435897,115,195
Reef 21-060,2008,1,1,17.5,35,200
Reef 21-060,2008,1,2,8,16,200
Reef 21-060,2008,1,3,13,26,200
Reef 21-060,2008,1,4,12,24,200
Reef 21-060,2008,1,5,12,24,200
Reef 21-060,2008,2,1,22.05128205128205,43,195
Reef 21-060,2008,2,2,25.5,51,200
Reef 21-060,2008,2,3,41,82,200
Reef 21-060,2008,2,4,26.5,53,200
Reef 21-060,2008,2,5,37.5,75,200
Reef 21-060,2008,3,1,41.578947368421055,79,190
Reef 21-060,2008,3,2,60.82474226804124,118,194
Reef 21-060,2008,3,3,28.42105263157895,54,190
Reef 21-060,2008,3,4,67.6923076923077,132,195
Reef 21-060,2008,3,5,61,122,200
Reef 21-060,2010,1,1,8.5,17,200
Reef 21-060,2010,1,2,5.5,11,200
Reef 21-060,2010,1,3,3.5,7,200
Reef 21-060,2010,1,4,2.5,5,200
Reef 21-060,2010,1,5,0.5,1,200
Reef 21-060,2010,2,1,1.5,3,200
Reef 21-060,2010,2,2,5.5,11,200
Reef 21-060,2010,2,3,3,6,200
Reef 21-060,2010,2,4,4,8,200
Reef 21-060,2010,2,5,1.5,3,200
Reef 21-060,2010,3,1,6,12,200
Reef 21-060,2010,3,2,7.5,15,200
Reef 21-060,2010,3,3,6,12,200
Reef 21-060,2010,3,4,7.5,15,200
Reef 21-060,2010,3,5,19,38,200
Reef 21-060,2012,1,1,4.5,9,200
Reef 21-060,2012,1,2,12,24,200
Reef 21-060,2012,1,3,3.5,7,200
Reef 21-060,2012,1,4,5,10,200
Reef 21-060,2012,1,5,0,0,200
Reef 21-060,2012,2,1,2,4,200
Reef 21-060,2012,2,2,3,6,200
Reef 21-060,2012,2,3,6,12,200
Reef 21-060,2012,2,4,1.5,3,200
Reef 21-060,2012,2,5,3.5,7,200
Reef 21-060,2012,3,1,2,4,200
Reef 21-060,2012,3,2,2,4,200
Reef 21-060,2012,3,3,5,10,200
Reef 21-060,2012,3,4,5,10,200
Reef 21-060,2012,3,5,6,12,200
Reef 21-060,2014,1,1,5.5,11,200
Reef 21-060,2014,1,2,1,2,200
Reef 21-060,2014,1,3,6,12,200
Reef 21-060,2014,1,4,3,6,200
Reef 21-060,2014,1,5,3.5,7,200
Reef 21-060,2014,2,1,2.5,5,200
Reef 21-060,2014,2,2,2.5,5,200
Reef 21-060,2014,2,3,1.5,3,200
Reef 21-060,2014,2,4,3.5,7,200
Reef 21-060,2014,2,5,4.5,9,200
Reef 21-060,2014,3,1,13,26,200
Reef 21-060,2014,3,2,5.5,11,200
Reef 21-060,2014,3,3,13,26,200
Reef 21-060,2014,3,4,7.5,15,200
Reef 21-060,2014,3,5,3,6,200
Reef 21-060,2016,1,1,2,4,200
Reef 21-060,2016,1,2,0.5,1,200
Reef 21-060,2016,1,3,0,0,200
Reef 21-060,2016,1,4,0,0,200
Reef 21-060,2016,1,5,1.5,3,200
Reef 21-060,2016,2,1,1,2,200
Reef 21-060,2016,2,2,4,8,200
Reef 21-060,2016,2,3,0.5,1,200
Reef 21-060,2016,2,4,5,10,200
Reef 21-060,2016,2,5,2.5,5,200
Reef 21-060,2016,3,1,6,12,200
Reef 21-060,2016,3,2,5,10,200
Reef 21-060,2016,3,3,3,6,200
Reef 21-060,2016,3,4,5.5,11,200
Reef 21-060,2016,3,5,5.5,11,200
Reef 21-060,2018,1,1,0.5,1,200
Reef 21-060,2018,1,2,0,0,200
Reef 21-060,2018,1,3,0,0,200
Reef 21-060,2018,1,4,1,2,200
Reef 21-060,2018,1,5,2.5,5,200
Reef 21-060,2018,2,1,0.5,1,200
Reef 21-060,2018,2,2,2,4,200
Reef 21-060,2018,2,3,0.5,1,200
Reef 21-060,2018,2,4,2,4,200
Reef 21-060,2018,2,5,2,4,200
Reef 21-060,2018,3,1,2.5,5,200
Reef 21-060,2018,3,2,1,2,200
Reef 21-060,2018,3,3,3,6,200
Reef 21-060,2018,3,4,5.5,11,200
Reef 21-060,2018,3,5,1.5,3,200
Reef 21-060,2020,1,1,2,4,200
Reef 21-060,2020,1,2,1.5,3,200
Reef 21-060,2020,1,3,0.5,1,200
Reef 21-060,2020,1,4,2,4,200
Reef 21-060,2020,1,5,1.5,3,200
Reef 21-060,2020,2,1,4,8,200
Reef 21-060,2020,2,2,1.5,3,200
Reef 21-060,2020,2,3,6,12,200
Reef 21-060,2020,2,4,7,14,200
Reef 21-060,2020,2,5,1.0050251256281406,2,199
Reef 21-060,2020,3,1,7,14,200
Reef 21-060,2020,3,2,2,4,200
Reef 21-060,2020,3,3,11.5,23,200
Reef 21-060,2020,3,4,12.5,25,200
Reef 21-060,2020,3,5,4,8,200
Reef 21-062,2006,1,1,34,68,200
Reef 21-062,2006,1,2,6,12,200
Reef 21-062,2006,1,3,25,50,200
Reef 21-062,2006,1,4,27.5,55,200
Reef 21-062,2006,1,5,39,78,200
Reef 21-062,2006,2,1,29.5,59,200
Reef 21-062,2006,2,2,29.5,59,200
Reef 21-062,2006,2,3,45,90,200
Reef 21-062,2006,2,4,31.000000000000004,62,200
Reef 21-062,2006,2,5,31.5,63,200
Reef 21-062,2006,3,1,31,62,200
Reef 21-062,2006,3,2,27.5,55,200
Reef 21-062,2006,3,3,33.333333333333336,66,198
Reef 21-062,2006,3,4,32,64,200
Reef 21-062,2006,3,5,54,108,200
Reef 21-062,2008,1,1,34.21052631578947,65,190
Reef 21-062,2008,1,2,7.5,15,200
Reef 21-062,2008,1,3,23,46,200
Reef 21-062,2008,1,4,26.5,53,200
Reef 21-062,2008,1,5,41,82,200
Reef 21-062,2008,2,1,26.5,53,200
Reef 21-062,2008,2,2,40,80,200
Reef 21-062,2008,2,3,35.5,71,200
Reef 21-062,2008,2,4,40.51282051282051,79,195
Reef 21-062,2008,2,5,33,66,200
Reef 21-062,2008,3,1,26.153846153846153,51,195
Reef 21-062,2008,3,2,29.18918918918919,54,185
Reef 21-062,2008,3,3,37.89473684210526,72,190
Reef 21-062,2008,3,4,44.61538461538462,87,195
Reef 21-062,2008,3,5,44.1025641025641,86,195
Reef 21-062,2010,1,1,19.5,39,200
Reef 21-062,2010,1,2,26.5,53,200
Reef 21-062,2010,1,3,22.5,45,200
Reef 21-062,2010,1,4,28,56,200
Reef 21-062,2010,1,5,24,48,200
Reef 21-062,2010,2,1,28,56,200
Reef 21-062,2010,2,2,35.5,71,200
Reef 21-062,2010,2,3,36,72,200
Reef 21-062,2010,2,4,29.5,59,200
Reef 21-062,2010,2,5,28.5,57,200
Reef 21-062,2010,3,1,31.5,63,200
Reef 21-062,2010,3,2,28.5,57,200
Reef 21-062,2010,3,3,24,48,200
Reef 21-062,2010,3,4,27,54,200
Reef 21-062,2010,3,5,26.5,53,200
Reef 21-062,2012,1,1,22.5,45,200
Reef 21-062,2012,1,2,11,22,200
Reef 21-062,2012,1,3,23,46,200
Reef 21-062,2012,1,4,15,30,200
Reef 21-062,2012,1,5,10.5,21,200
Reef 21-062,2012,2,1,19.5,39,200
Reef 21-062,2012,2,2,27,54,200
Reef 21-062,2012,2,3,22.5,45,200
Reef 21-062,2012,2,4,21.5,43,200
Reef 21-062,2012,2,5,9.5,19,200
Reef 21-062,2012,3,1,16.5,33,200
Reef 21-062,2012,3,2,13.5,27,200
Reef 21-062,2012,3,3,15,30,200
Reef 21-062,2012,3,4,7.5,15,200
Reef 21-062,2012,3,5,30.5,61,200
Reef 21-062,2014,1,1,12.5,25,200
Reef 21-062,2014,1,2,8,16,200
Reef 21-062,2014,1,3,5.5,11,200
Reef 21-062,2014,1,4,9.5,19,200
Reef 21-062,2014,1,5,14,28,200
Reef 21-062,2014,2,1,18,36,200
Reef 21-062,2014,2,2,17,34,200
Reef 21-062,2014,2,3,23.5,47,200
Reef 21-062,2014,2,4,14.5,29,200
Reef 21-062,2014,2,5,15,30,200
Reef 21-062,2014,3,1,13.5,27,200
Reef 21-062,2014,3,2,11,22,200
Reef 21-062,2014,3,3,11,22,200
Reef 21-062,2014,3,4,9.547738693467336,19,199
Reef 21-062,2014,3,5,13.5,27,200
Reef 21-062,2016,1,1,9.5,19,200
Reef 21-062,2016,1,2,7.5,15,200
Reef 21-062,2016,1,3,1.5,3,200
Reef 21-062,2016,1,4,1.5,3,200
Reef 21-062,2016,1,5,6,12,200
Reef 21-062,2016,2,1,3.5,7,200
Reef 21-062,2016,2,2,13,26,200
Reef 21-062,2016,2,3,9.5,19,200
Reef 21-062,2016,2,4,11,22,200
Reef 21-062,2016,2,5,4,8,200
Reef 21-062,2016,3,1,7.5,15,200
Reef 21-062,2016,3,2,3.5,7,200
Reef 21-062,2016,3,3,2.5,5,200
Reef 21-062,2016,3,4,3.5,7,200
Reef 21-062,2016,3,5,3.5,7,200
Reef 21-062,2018,1,1,3.5,7,200
Reef 21-062,2018,1,2,2,4,200
Reef 21-062,2018,1,3,2,4,200
Reef 21-062,2018,1,4,3.5,7,200
Reef 21-062,2018,1,5,3,6,200
Reef 21-062,2018,2,1,3,6,200
Reef 21-062,2018,2,2,3,6,200
Reef 21-062,2018,2,3,1.5,3,200
Reef 21-062,2018,2,4,1,2,200
Reef 21-062,2018,2,5,3.5,7,200
Reef 21-062,2018,3,1,5,10,200
Reef 21-062,2018,3,2,2.5,5,200
Reef 21-062,2018,3,3,1.5,3,200
Reef 21-062,2018,3,4,0.5,1,200
Reef 21-062,2018,3,5,4.5,9,200
Reef 21-064,2006,1,1,51,102,200
Reef 21-064,2006,1,2,45,90,200
Reef 21-064,2006,1,3,41.5,83,200
Reef 21-064,2006,1,4,45.5,91,200
Reef 21-064,2006,1,5,40,80,200
Reef 21-064,2006,2,1,54.5,109,200
Reef 21-064,2006,2,2,40,80,200
Reef 21-064,2006,2,3,34,68,200
Reef 21-064,2006,2,4,43,86,200
Reef 21-064,2006,2,5,37,74,200
Reef 21-064,2006,3,1,41.5,83,200
Reef 21-064,2006,3,2,21.5,43,200
Reef 21-064,2006,3,3,20,40,200
Reef 21-064,2006,3,4,37,74,200
Reef 21-064,2006,3,5,23,46,200
Reef 21-064,2008,1,1,38.46153846153846,75,195
Reef 21-064,2008,1,2,40.51282051282051,79,195
Reef 21-064,2008,1,3,30.5,61,200
Reef 21-064,2008,1,4,29.743589743589745,58,195
Reef 21-064,2008,1,5,29.743589743589745,58,195
Reef 21-064,2008,2,1,34.5,69,200
Reef 21-064,2008,2,2,42.5,85,200
Reef 21-064,2008,2,3,31.28205128205128,61,195
Reef 21-064,2008,2,4,23.157894736842106,44,190
Reef 21-064,2008,2,5,39,78,200
Reef 21-064,2008,3,1,33.5,67,200
Reef 21-064,2008,3,2,30,60,200
Reef 21-064,2008,3,3,30.256410256410255,59,195
Reef 21-064,2008,3,4,34.5,69,200
Reef 21-064,2008,3,5,23,46,200
Reef 21-064,2010,1,1,8.5,17,200
Reef 21-064,2010,1,2,7,14,200
Reef 21-064,2010,1,3,14,28,200
Reef 21-064,2010,1,4,22.5,45,200
Reef 21-064,2010,1,5,25.5,51,200
Reef 21-064,2010,2,1,23,46,200
Reef 21-064,2010,2,2,21,42,200
Reef 21-064,2010,2,3,18.5,37,200
Reef 21-064,2010,2,4,11.5,23,200
Reef 21-064,2010,2,5,13,26,200
Reef 21-064,2010,3,1,7,14,200
Reef 21-064,2010,3,2,9,18,200
Reef 21-064,2010,3,3,10.5,21,200
Reef 21-064,2010,3,4,8,16,200
Reef 21-064,2010,3,5,2,4,200
Reef 21-064,2012,1,1,2.5,5,200
Reef 21-064,2012,1,2,3.5,7,200
Reef 21-064,2012,1,3,16.5,33,200
Reef 21-064,2012,1,4,14,28,200
Reef 21-064,2012,1,5,19.5,39,200
Reef 21-064,2012,2,1,15.5,31,200
Reef 21-064,2012,2,2,13,26,200
Reef 21-064,2012,2,3,9.473684210526315,18,190
Reef 21-064,2012,2,4,9,18,200
Reef 21-064,2012,2,5,3.5,7,200
Reef 21-064,2012,3,1,6.5,13,200
Reef 21-064,2012,3,2,6,12,200
Reef 21-064,2012,3,3,7,14,200
Reef 21-064,2012,3,4,3,6,200
Reef 21-064,2012,3,5,3.5,7,200
Reef 21-064,2014,1,1,7.5,15,200
Reef 21-064,2014,1,2,14.5,29,200
Reef 21-064,2014,1,3,17,34,200
Reef 21-064,2014,1,4,13,26,200
Reef 21-064,2014,1,5,12,24,200
Reef 21-064,2014,2,1,16.5,33,200
Reef 21-064,2014,2,2,19.5,39,200
Reef 21-064,2014,2,3,6,12,200
Reef 21-064,2014,2,4,12.5,25,200
Reef 21-064,2014,2,5,5.5,11,200
Reef 21-064,2014,3,1,3.5,7,200
Reef 21-064,2014,3,2,2.051282051282051,4,195
Reef 21-064,2014,3,3,8.717948717948717,17,195
Reef 21-064,2014,3,4,5.5,11,200
Reef 21-064,2014,3,5,2.5,5,200
Reef 21-064,2016,1,1,2,4,200
Reef 21-064,2016,1,2,4,8,200
Reef 21-064,2016,1,3,10,20,200
Reef 21-064,2016,1,4,13,26,200
Reef 21-064,2016,1,5,9.5,19,200
Reef 21-064,2016,2,1,11,22,200
Reef 21-064,2016,2,2,8,16,200
Reef 21-064,2016,2,3,7.5,15,200
Reef 21-064,2016,2,4,7,14,200
Reef 21-064,2016,2,5,6.5,13,200
Reef 21-064,2016,3,1,8.5,17,200
Reef 21-064,2016,3,2,7,14,200
Reef 21-064,2016,3,3,11,22,200
Reef 21-064,2016,3,4,8,16,200
Reef 21-064,2016,3,5,8,16,200
Reef 21-064,2018,1,1,1,2,200
Reef 21-064,2018,1,2,2.5,5,200
Reef 21-064,2018,1,3,7,14,200
Reef 21-064,2018,1,4,2.5,5,200
Reef 21-064,2018,1,5,11,22,200
Reef 21-064,2018,2,1,3.5,7,200
Reef 21-064,2018,2,2,3,6,200
Reef 21-064,2018,2,3,2.5,5,200
Reef 21-064,2018,2,4,3.5,7,200
Reef 21-064,2018,2,5,2.5,5,200
Reef 21-064,2018,3,1,5.5,11,200
Reef 21-064,2018,3,2,3,6,200
Reef 21-064,2018,3,3,8,16,200
Reef 21-064,2018,3,4,11.5,23,200
Reef 21-064,2018,3,5,2.5,5,200
Reef 21-064,2020,1,1,0.5128205128205128,1,195
Reef 21-064,2020,1,2,5,10,200
Reef 21-064,2020,1,3,2.5,5,200
Reef 21-064,2020,1,4,7.5,15,200
Reef 21-064,2020,1,5,1.5,3,200
Reef 21-064,2020,2,1,7.500000000000001,15,200
Reef 21-064,2020,2,2,1.5,3,200
Reef 21-064,2020,2,3,9.5,19,200
Reef 21-064,2020,2,4,8,16,200
Reef 21-064,2020,2,5,4.5,9,200
Reef 21-064,2020,3,1,10,20,200
Reef 21-064,2020,3,2,2.5,5,200
Reef 21-064,2020,3,3,6.0606060606060606,12,198
Reef 21-064,2020,3,4,7.5,15,200
Reef 21-064,2020,3,5,3,6,200
Reef 21-139,2006,1,1,19.5,39,200
Reef 21-139,2006,1,2,22.5,45,200
Reef 21-139,2006,1,3,12.5,25,200
Reef 21-139,2006,1,4,7.5,15,200
Reef 21-139,2006,1,5,39.5,79,200
Reef 21-139,2006,2,1,14.5,29,200
Reef 21-139,2006,2,2,15,30,200
Reef 21-139,2006,2,3,24.5,49,200
Reef 21-139,2006,2,4,34,68,200
Reef 21-139,2006,2,5,28,56,200
Reef 21-139,2006,3,1,20.5,41,200
Reef 21-139,2006,3,2,24,48,200
Reef 21-139,2006,3,3,13.5,27,200
Reef 21-139,2006,3,4,7.5,15,200
Reef 21-139,2006,3,5,24.5,49,200
Reef 21-139,2008,1,1,18.5,37,200
Reef 21-139,2008,1,2,14.5,29,200
Reef 21-139,2008,1,3,14.5,29,200
Reef 21-139,2008,1,4,1.5,3,200
Reef 21-139,2008,1,5,40.51282051282051,79,195
Reef 21-139,2008,2,1,21,42,200
Reef 21-139,2008,2,2,18.5,37,200
Reef 21-139,2008,2,3,25.5,51,200
Reef 21-139,2008,2,4,25.5,51,200
Reef 21-139,2008,2,5,16,32,200
Reef 21-139,2008,3,1,17.89473684210526,34,190
Reef 21-139,2008,3,2,26.153846153846153,51,195
Reef 21-139,2008,3,3,16.5,33,200
Reef 21-139,2008,3,4,20,40,200
Reef 21-139,2008,3,5,23,46,200
Reef 21-139,2010,1,1,16,32,200
Reef 21-139,2010,1,2,25,50,200
Reef 21-139,2010,1,3,7,14,200
Reef 21-139,2010,1,4,4.5,9,200
Reef 21-139,2010,1,5,24,48,200
Reef 21-139,2010,2,1,12.5,25,200
Reef 21-139,2010,2,2,12,24,200
Reef 21-139,2010,2,3,23.5,47,200
Reef 21-139,2010,2,4,20,40,200
Reef 21-139,2010,2,5,11,22,200
Reef 21-139,2010,3,1,17,34,200
Reef 21-139,2010,3,2,13,26,200
Reef 21-139,2010,3,3,14.5,29,200
Reef 21-139,2010,3,4,14.5,29,200
Reef 21-139,2010,3,5,18.5,37,200
Reef 21-139,2012,1,1,27,54,200
Reef 21-139,2012,1,2,22.5,45,200
Reef 21-139,2012,1,3,30,60,200
Reef 21-139,2012,1,4,10.256410256410255,20,195
Reef 21-139,2012,1,5,37.5,75,200
Reef 21-139,2012,2,1,16.5,33,200
Reef 21-139,2012,2,2,13.5,27,200
Reef 21-139,2012,2,3,26,52,200
Reef 21-139,2012,2,4,27.5,55,200
Reef 21-139,2012,2,5,18.5,37,200
Reef 21-139,2012,3,1,13.5,27,200
Reef 21-139,2012,3,2,13.5,27,200
Reef 21-139,2012,3,3,14.5,29,200
Reef 21-139,2012,3,4,8.5,17,200
Reef 21-139,2012,3,5,19.5,39,200
Reef 21-139,2014,1,1,15,30,200
Reef 21-139,2014,1,2,30,60,200
Reef 21-139,2014,1,3,19.5,39,200
Reef 21-139,2014,1,4,15.000000000000002,30,200
Reef 21-139,2014,1,5,33.5,67,200
Reef 21-139,2014,2,1,13.5,27,200
Reef 21-139,2014,2,2,16.5,33,200
Reef 21-139,2014,2,3,25,50,200
Reef 21-139,2014,2,4,20.5,41,200
Reef 21-139,2014,2,5,24,48,200
Reef 21-139,2014,3,1,15,30,200
Reef 21-139,2014,3,2,10,20,200
Reef 21-139,2014,3,3,4.5,9,200
Reef 21-139,2014,3,4,6.5,13,200
Reef 21-139,2014,3,5,15,30,200
Reef 21-139,2016,1,1,15,30,200
Reef 21-139,2016,1,2,44.5,89,200
Reef 21-139,2016,1,3,25.5,51,200
Reef 21-139,2016,1,4,8.5,17,200
Reef 21-139,2016,1,5,46.5,93,200
Reef 21-139,2016,2,1,42,84,200
Reef 21-139,2016,2,2,32,64,200
Reef 21-139,2016,2,3,43,86,200
Reef 21-139,2016,2,4,41,82,200
Reef 21-139,2016,2,5,15.5,31,200
Reef 21-139,2016,3,1,25.5,51,200
Reef 21-139,2016,3,2,21,42,200
Reef 21-139,2016,3,3,21.5,43,200
Reef 21-139,2016,3,4,7.5,15,200
Reef 21-139,2016,3,5,18.5,37,200
Reef 21-139,2018,1,1,19.5,39,200
Reef 21-139,2018,1,2,38,76,200
Reef 21-139,2018,1,3,14,28,200
Reef 21-139,2018,1,4,14.5,29,200
Reef 21-139,2018,1,5,36.5,73,200
Reef 21-139,2018,2,1,26,52,200
Reef 21-139,2018,2,2,31.5,63,200
Reef 21-139,2018,2,3,27,54,200
Reef 21-139,2018,2,4,29.5,59,200
Reef 21-139,2018,2,5,25,50,200
Reef 21-139,2018,3,1,22.5,45,200
Reef 21-139,2018,3,2,13.5,27,200
Reef 21-139,2018,3,3,9.5,19,200
Reef 21-139,2018,3,4,18,36,200
Reef 21-139,2018,3,5,21,42,200
Reef 21-139,2020,1,1,23,46,200
Reef 21-139,2020,1,2,33.333333333333336,66,198
Reef 21-139,2020,1,3,22.110552763819094,44,199
Reef 21-139,2020,1,4,21,42,200
Reef 21-139,2020,1,5,42.21105527638191,84,199
Reef 21-139,2020,2,1,30.5,61,200
Reef 21-139,2020,2,2,27.1356783919598,54,199
Reef 21-139,2020,2,3,35.5,71,200
Reef 21-139,2020,2,4,29.5,59,200
Reef 21-139,2020,2,5,17.5,35,200
Reef 21-139,2020,3,1,29.14572864321608,58,199
Reef 21-139,2020,3,2,22,44,200
Reef 21-139,2020,3,3,21.105527638190953,42,199
Reef 21-139,2020,3,4,7,14,200
Reef 21-139,2020,3,5,18,36,200
Reef 21-187,2006,1,1,35.5,71,200
Reef 21-187,2006,1,2,38,76,200
Reef 21-187,2006,1,3,25.5,51,200
Reef 21-187,2006,1,4,32.1608040201005,64,199
Reef 21-187,2006,1,5,26,52,200
Reef 21-187,2006,2,1,28.5,57,200
Reef 21-187,2006,2,2,37.5,75,200
Reef 21-187,2006,2,3,32,64,200
Reef 21-187,2006,2,4,27.5,55,200
Reef 21-187,2006,2,5,35,70,200
Reef 21-187,2006,3,1,35,70,200
Reef 21-187,2006,3,2,32.5,65,200
Reef 21-187,2006,3,3,18.5,37,200
Reef 21-187,2006,3,4,40.5,81,200
Reef 21-187,2006,3,5,40.5,81,200
Reef 21-187,2008,1,1,25.5,51,200
Reef 21-187,2008,1,2,30.5,61,200
Reef 21-187,2008,1,3,31.5,63,200
Reef 21-187,2008,1,4,30.526315789473685,58,190
Reef 21-187,2008,1,5,33.5,67,200
Reef 21-187,2008,2,1,25,50,200
Reef 21-187,2008,2,2,28.5,57,200
Reef 21-187,2008,2,3,27.5,55,200
Reef 21-187,2008,2,4,29.5,59,200
Reef 21-187,2008,2,5,39.5,79,200
Reef 21-187,2008,3,1,28.5,57,200
Reef 21-187,2008,3,2,31.65829145728643,63,199
Reef 21-187,2008,3,3,24.5,49,200
Reef 21-187,2008,3,4,37,74,200
Reef 21-187,2008,3,5,36.5,73,200
Reef 21-187,2010,1,1,13,26,200
Reef 21-187,2010,1,2,30.5,61,200
Reef 21-187,2010,1,3,20.5,41,200
Reef 21-187,2010,1,4,25.853658536585368,53,205
Reef 21-187,2010,1,5,18.5,37,200
Reef 21-187,2010,2,1,15.238095238095239,32,210
Reef 21-187,2010,2,2,16.5,33,200
Reef 21-187,2010,2,3,9.5,19,200
Reef 21-187,2010,2,4,16,32,200
Reef 21-187,2010,2,5,12,24,200
Reef 21-187,2010,3,1,2.5,5,200
Reef 21-187,2010,3,2,4.5,9,200
Reef 21-187,2010,3,3,1.5,3,200
Reef 21-187,2010,3,4,3,6,200
Reef 21-187,2010,3,5,0.5,1,200
Reef 21-187,2012,1,1,18,36,200
Reef 21-187,2012,1,2,31,62,200
Reef 21-187,2012,1,3,21,42,200
Reef 21-187,2012,1,4,18.5,37,200
Reef 21-187,2012,1,5,17,34,200
Reef 21-187,2012,2,1,13.5,27,200
Reef 21-187,2012,2,2,19.5,39,200
Reef 21-187,2012,2,3,7,14,200
Reef 21-187,2012,2,4,5,10,200
Reef 21-187,2012,2,5,6,12,200
Reef 21-187,2012,3,1,2.5,5,200
Reef 21-187,2012,3,2,6,12,200
Reef 21-187,2012,3,3,4.5,9,200
Reef 21-187,2012,3,4,1,2,200
Reef 21-187,2012,3,5,2,4,200
Reef 21-187,2014,1,1,24.5,49,200
Reef 21-187,2014,1,2,26.5,53,200
Reef 21-187,2014,1,3,18.5,37,200
Reef 21-187,2014,1,4,22,44,200
Reef 21-187,2014,1,5,18,36,200
Reef 21-187,2014,2,1,12,24,200
Reef 21-187,2014,2,2,21.5,43,200
Reef 21-187,2014,2,3,18.5,37,200
Reef 21-187,2014,2,4,16.5,33,200
Reef 21-187,2014,2,5,8.5,17,200
Reef 21-187,2014,3,1,6.5,13,200
Reef 21-187,2014,3,2,3.5,7,200
Reef 21-187,2014,3,3,2,4,200
Reef 21-187,2014,3,4,9,18,200
Reef 21-187,2014,3,5,12.5,25,200
Reef 21-187,2016,2,1,27.5,55,200
Reef 21-187,2016,2,2,25,50,200
Reef 21-187,2016,2,3,21.5,43,200
Reef 21-187,2016,2,4,21,42,200
Reef 21-187,2016,2,5,22,44,200
Reef 21-187,2016,3,1,17,34,200
Reef 21-187,2016,3,2,10.5,21,200
Reef 21-187,2016,3,3,12.5,25,200
Reef 21-187,2016,3,4,28,56,200
Reef 21-187,2016,3,5,27,54,200
Reef 21-187,2018,1,1,24,48,200
Reef 21-187,2018,1,2,29,58,200
Reef 21-187,2018,1,3,31.5,63,200
Reef 21-187,2018,1,4,23.5,47,200
Reef 21-187,2018,1,5,28.5,57,200
Reef 21-187,2018,2,1,24.5,49,200
Reef 21-187,2018,2,2,16.5,33,200
Reef 21-187,2018,2,3,25.5,51,200
Reef 21-187,2018,2,4,21.5,43,200
Reef 21-187,2018,2,5,21,42,200
Reef 21-187,2018,3,1,16,32,200
Reef 21-187,2018,3,2,11.5,23,200
Reef 21-187,2018,3,3,16,32,200
Reef 21-187,2018,3,4,16.5,33,200
Reef 21-187,2018,3,5,24,48,200
Reef 21-187,2020,1,1,19.5,39,200
Reef 21-187,2020,1,2,31.5,63,200
Reef 21-187,2020,1,3,26.5,53,200
Reef 21-187,2020,1,4,33.004926108374384,67,203
Reef 21-187,2020,1,5,21,42,200
Reef 21-187,2020,2,1,29.5,59,200
Reef 21-187,2020,2,2,18,36,200
Reef 21-187,2020,2,3,31,62,200
Reef 21-187,2020,2,4,19.5,39,200
Reef 21-187,2020,2,5,13.5,27,200
Reef 21-187,2020,3,1,14.57286432160804,29,199
Reef 21-187,2020,3,2,21.5,43,200
Reef 21-187,2020,3,3,29.5,59,200
Reef 21-187,2020,3,4,12.5,25,200
Reef 21-187,2020,3,5,30.5,61,200
Reef 21-245,2006,1,1,25,50,200
Reef 21-245,2006,1,2,29.23076923076923,57,195
Reef 21-245,2006,1,3,24.615384615384617,48,195
Reef 21-245,2006,1,4,31,62,200
Reef 21-245,2006,1,5,39.59390862944162,78,197
Reef 21-245,2006,2,1,35.5,71,200
Reef 21-245,2006,2,2,28,56,200
Reef 21-245,2006,2,3,32.30769230769231,63,195
Reef 21-245,2006,2,4,42.5,85,200
Reef 21-245,2006,2,5,32.5,65,200
Reef 21-245,2006,3,1,28,56,200
Reef 21-245,2006,3,2,37.5,75,200
Reef 21-245,2006,3,3,42,84,200
Reef 21-245,2006,3,4,31.5,63,200
Reef 21-245,2006,3,5,43.5,87,200
Reef 21-245,2008,1,1,24.11764705882353,41,170
Reef 21-245,2008,1,2,36.04060913705584,71,197
Reef 21-245,2008,1,3,38,76,200
Reef 21-245,2008,1,4,27.36842105263158,52,190
Reef 21-245,2008,1,5,28.795811518324605,55,191
Reef 21-245,2008,2,1,36.92307692307692,72,195
Reef 21-245,2008,2,2,29.5,59,200
Reef 21-245,2008,2,3,40.54054054054054,75,185
Reef 21-245,2008,2,4,31,62,200
Reef 21-245,2008,2,5,28.78048780487805,59,205
Reef 21-245,2008,3,1,21.025641025641026,41,195
Reef 21-245,2008,3,2,33.5,67,200
Reef 21-245,2008,3,3,27,54,200
Reef 21-245,2008,3,4,33.165829145728644,66,199
Reef 21-245,2008,3,5,28,56,200
Reef 21-245,2010,1,1,2.5,5,200
