AIMS_REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,HC,n.points,total.points
Fore and Aft Reef,2012,2,2,0,0,200
Fore and Aft Reef,2012,2,3,3,6,200
Fore and Aft Reef,2012,2,4,1,2,200
Fore and Aft Reef,2012,2,5,4.5,9,200
Fore and Aft Reef,2012,3,1,3,6,200
Fore and Aft Reef,2012,3,2,2.5,5,200
Fore and Aft Reef,2012,3,3,0,0,200
Fore and Aft Reef,2012,3,4,5,10,200
Fore and Aft Reef,2012,3,5,7,14,200
Fore and Aft Reef,2014,1,1,6,12,200
Fore and Aft Reef,2014,1,2,11.5,23,200
Fore and Aft Reef,2014,1,3,5.5,11,200
Fore and Aft Reef,2014,1,4,3.5,7,200
Fore and Aft Reef,2014,1,5,2,4,200
Fore and Aft Reef,2014,2,1,6.5,13,200
Fore and Aft Reef,2014,2,2,6.5,13,200
Fore and Aft Reef,2014,2,3,7,14,200
Fore and Aft Reef,2014,2,4,5,10,200
Fore and Aft Reef,2014,2,5,11,22,200
Fore and Aft Reef,2014,3,1,4.5,9,200
Fore and Aft Reef,2014,3,2,3.5,7,200
Fore and Aft Reef,2014,3,3,14.5,29,200
Fore and Aft Reef,2014,3,4,7.5,15,200
Fore and Aft Reef,2014,3,5,8,16,200
Fore and Aft Reef,2016,1,1,26,52,200
Fore and Aft Reef,2016,1,2,21,42,200
Fore and Aft Reef,2016,1,3,6.5,13,200
Fore and Aft Reef,2016,1,4,14.5,29,200
Fore and Aft Reef,2016,1,5,17.5,35,200
Fore and Aft Reef,2016,2,1,16,32,200
Fore and Aft Reef,2016,2,2,20.5,41,200
Fore and Aft Reef,2016,2,3,27.5,55,200
Fore and Aft Reef,2016,2,4,36.5,73,200
Fore and Aft Reef,2016,2,5,19.5,39,200
Fore and Aft Reef,2016,3,1,29.000000000000004,58,200
Fore and Aft Reef,2016,3,2,8.5,17,200
Fore and Aft Reef,2016,3,3,19,38,200
Fore and Aft Reef,2016,3,4,21,42,200
Fore and Aft Reef,2016,3,5,17,34,200
Fore and Aft Reef,2018,1,1,10.5,21,200
Fore and Aft Reef,2018,1,2,13,26,200
Fore and Aft Reef,2018,1,3,15,30,200
Fore and Aft Reef,2018,1,4,14.5,29,200
Fore and Aft Reef,2018,1,5,24.5,49,200
Fore and Aft Reef,2018,2,1,18.5,37,200
Fore and Aft Reef,2018,2,2,28,56,200
Fore and Aft Reef,2018,2,3,27.5,55,200
Fore and Aft Reef,2018,2,4,40.5,81,200
Fore and Aft Reef,2018,2,5,29.64824120603015,59,199
Fore and Aft Reef,2018,3,1,15.5,31,200
Fore and Aft Reef,2018,3,2,23,46,200
Fore and Aft Reef,2018,3,3,13,26,200
